# clusterName       ra        dec       l         b         r50     nbstars pmra      pmdec     par     d05       d16       dmode     d84       d95       Rgc       distance_Kharchenko logt_Kharchenko rc_Kharchenko rt_Kharchenko FeH_Kharchenko	FeH_synth
  BH_56             134.355   -43.181   264.47    1.548     0.215   122    -5.57     5.439     1.078   899.1     900.8     903.0     905.3     906.8     8474.7    737.0         7.3           0.78          2.72          ""           	0.04659625
  BH_66             141.314   -54.719   276.0     -3.013    0.023   43     -4.157    3.599     0.097   7334.4    7565.0    7927.3    8338.9    8635.4    10882.1   5664.0        8.87          3.34          11.52         ""           	-0.22423625
  BH_67             141.687   -51.273   273.763   -0.381    0.025   51     -3.64     2.811     0.098   7022.3    7340.3    7888.0    8506.3    8983.2    11096.7   6501.0        8.835         3.53          21.37         ""           	-0.24837875
  BH_72             142.838   -53.04    275.491   -1.178    0.023   68     -4.621    3.299     0.11    6776.7    6941.8    7181.9    7452.0    7647.0    10471.5   2032.0        8.7           0.56          8.31          ""           	-0.17804375
  BH_73             142.981   -50.225   273.638   0.944     0.014   59     -3.574    2.306     0.105   6600.3    6916.5    7456.6    8075.8    8550.1    10828.2   2269.0        8.9           0.97          8.82          ""           	-0.2181725
  BH_78             145.952   -56.574   279.186   -2.615    0.013   50     -3.69     2.71      0.15    5170.3    5322.2    5575.4    5845.4    6048.0    9259.9    9763.0        8.6           1.41          11.5          ""           	-0.04173875
  BH_84             150.331   -58.218   282.057   -2.418    0.024   76     -4.848    3.289     0.2     4230.6    4285.5    4378.7    4466.5    4532.3    8570.4    1282.0        7.7           0.43          3.61          ""           	0.03583
  BH_85             150.469   -49.564   276.914   4.546     0.031   81     -5.689    4.676     0.106   6815.6    7046.5    7405.7    7803.4    8098.5    10451.4   2795.0        8.8           6.37          14.54         ""           	-0.1757825
  BH_87             151.148   -55.386   280.724   0.122     0.066   199    -6.335    2.626     0.416   2222.0    2232.1    2245.8    2260.8    2269.6    8223.7    1671.0        7.3           0.77          7.16          ""           	0.07483375
  BH_90             153.064   -58.069   283.139   -1.451    0.043   145    -5.385    2.295     0.369   2481.2    2493.1    2513.6    2532.4    2547.8    8145.1    1928.0        8.465         0.57          6.76          ""           	0.08367625
  BH_92             154.779   -56.425   282.988   0.431     0.02    43     -5.896    3.446     0.388   2353.3    2372.6    2400.8    2428.9    2449.7    8143.7    1282.0        8.91          0.74          5.69          ""           	0.08383375
  BH_99             159.553   -59.168   286.585   -0.592    0.537   389    -14.494   0.919     2.225   443.1     443.3     443.6     443.9     444.0     8224.4    517.0         8.0           0.83          4.41          90.128       	0.074755
  Barkhatova_1      313.398   46.037    86.208    0.818     0.072   60     -2.44     -4.478    0.476   1959.9    1969.1    1981.5    1995.9    2004.2    8443.7    912.0         8.72          0.54          4.47          ""           	0.05008375
  Basel_10          34.878    58.304    134.304   -2.61     0.032   17     -0.48     -0.815    0.442   2065.4    2087.3    2122.1    2157.9    2182.2    9937.1    2000.0        7.6           0.37          5.7           ""           	-0.11792375
  Basel_11a         109.296   -13.988   228.284   -0.768    0.078   104    -1.581    0.929     0.709   1342.5    1347.3    1354.0    1361.3    1366.1    9296.0    1537.0        7.42          1.89          8.26          ""           	-0.0458
  Basel_11b         89.547    21.965    187.442   -1.117    0.065   84     1.046     -4.137    0.534   1748.0    1759.5    1777.1    1795.5    1807.8    10104.4   1318.0        8.98          1.01          5.18          ""           	-0.136745
  Basel_17          167.65    -59.047   290.274   1.324     0.091   31     -6.628    2.174     0.438   2103.9    2119.4    2142.1    2165.9    2182.6    7859.0    1697.0        7.975         0.9           4.38          ""           	0.1
  Basel_18          201.967   -62.306   307.151   0.267     0.06    67     -5.008    -2.05     0.508   1837.3    1846.9    1861.7    1875.6    1886.0    7366.7    2226.0        7.92          1.31          10.93         0.043        	0.1
  Basel_1           282.036   -5.876    27.326    -1.946    0.07    89     -0.079    -4.509    0.525   1781.2    1790.2    1805.0    1819.7    1830.3    6788.1    1604.0        8.135         0.62          6.71          ""           	0.1
  Basel_4           87.242    30.19     179.305   1.272     0.033   55     0.835     -1.801    0.286   3092.1    3123.3    3172.7    3222.1    3258.4    11511.7   2801.0        8.665         1.27          12.3          ""           	-0.29506625
  Basel_8           98.55     8.005     203.849   -0.156    0.309   33     -0.129    -2.373    0.625   1504.6    1514.4    1528.5    1543.2    1553.0    9757.6    1432.0        7.925         0.97          7.95          ""           	-0.09773
  Berkeley_101      353.213   64.209    114.511   2.63      0.024   52     -1.899    -1.089    0.177   4563.1    4674.6    4847.9    5046.0    5182.2    11248.2   3000.0        8.86          1.36          18.01         ""           	-0.2654225
  Berkeley_102      354.66    56.637    113.006   -4.826    0.049   22     -1.559    -0.34     0.05    10139.2   10994.4   12609.9   14843.1   16791.2   17588.4   4900.0        9.14          1.31          15.23         -0.38        	-0.35
  Berkeley_103      356.303   59.297    114.558   -2.494    0.022   40     -1.348    -0.861    0.093   7223.3    7583.7    8173.4    8894.1    9451.0    13886.7   1800.0        8.7           0.84          8.25          -0.38        	-0.35
  Berkeley_104      0.865     63.587    117.626   1.211     0.038   52     -2.392    0.09      0.198   4251.6    4311.0    4407.0    4503.0    4571.6    11092.7   3599.0        8.805         1.13          14.92         0.07         	-0.24792875
  Berkeley_10       54.894    66.486    138.619   8.881     0.082   181    -1.47     1.047     0.372   2469.0    2480.3    2496.5    2512.6    2524.0    10320.4   2201.0        8.81          0.8           13.24         -0.49        	-0.161045
  Berkeley_11       65.126    44.922    157.066   -3.65     0.038   92     1.08      -1.883    0.322   2780.8    2807.4    2849.6    2894.0    2925.1    11014.9   1964.0        8.7           0.39          9.44          ""           	-0.23917625
  Berkeley_12       71.1      42.691    161.64    -2.014    0.036   114    0.836     -1.713    0.202   4081.8    4177.8    4324.0    4483.9    4593.6    12515.6   3300.0        9.6           1.96          18.0          0.07         	-0.35
  Berkeley_13       73.943    52.809    155.069   5.919     0.065   155    -0.078    0.558     0.208   4083.3    4134.3    4219.5    4308.8    4372.7    12274.0   2800.0        8.87          0.38          8.43          ""           	-0.35
  Berkeley_14A      75.278    43.429    163.004   0.814     0.426   13     -0.225    -2.741    0.882   1080.0    1086.9    1097.1    1107.8    1115.1    9394.5    1100.0        6.97          7.74          12.16         ""           	-0.05688125
  Berkeley_14       74.935    43.488    162.805   0.655     0.051   203    1.504     0.426     0.187   4448.4    4521.8    4626.7    4736.8    4810.2    12832.7   5460.0        9.3           3.24          25.72         ""           	-0.35
  Berkeley_15       75.52     44.506    162.26    1.612     0.06    139    0.782     -0.872    0.339   2656.0    2681.8    2720.5    2761.1    2788.7    10961.5   1300.0        9.4           0.66          6.48          0.0          	-0.23316875
  Berkeley_17       80.13     30.574    175.658   -3.677    0.071   261    2.618     -0.35     0.281   3152.6    3181.9    3229.7    3277.5    3312.0    11556.4   1800.0        9.6           1.82          10.53         -0.1         	-0.300095
  Berkeley_18       80.531    45.442    163.589   5.03      0.117   317    0.849     -0.057    0.152   5343.0    5416.8    5523.5    5638.3    5720.4    13706.5   5800.0        9.63          9.21          44.87         0.02         	-0.35
  Berkeley_19       81.014    29.575    176.917   -3.61     0.037   65     0.757     -0.329    0.135   5483.8    5720.2    6106.9    6558.0    6891.0    14429.7   4800.0        9.5           1.32          13.84         -0.5         	-0.35
  Berkeley_1        2.449     60.476    117.82    -1.982    0.036   57     -2.758    -0.173    0.235   3637.9    3695.8    3784.4    3879.8    3944.5    10644.3   10300.0       8.6           7.24          24.99         ""           	-0.19748375
  Berkeley_20       83.152    0.185     203.485   -17.377   0.015   37     0.808     -0.244    0.04    10987.8   11975.1   14402.1   18104.3   20983.8   21650.6   8399.0        9.78          6.45          30.14         -0.61        	-0.35
  Berkeley_21       87.93     21.812    186.817   -2.49     0.031   52     0.562     -1.051    0.159   4845.1    5020.4    5312.7    5638.3    5880.5    13624.7   5716.0        9.3           1.35          20.88         -0.835       	-0.35
  Berkeley_23       98.318    20.535    192.595   5.392     0.038   105    -0.055    -1.339    0.151   5244.3    5369.7    5569.0    5783.0    5930.6    13804.0   4724.0        8.97          1.44          20.64         0.07         	-0.35
  Berkeley_24       99.452    -0.874    212.156   -3.431    0.051   244    0.382     1.279     0.156   5195.8    5273.1    5392.5    5518.9    5610.2    13211.4   5527.0        9.21          2.12          26.93         ""           	-0.35
  Berkeley_25       100.317   -16.487   226.613   -9.629    0.019   25     -0.114    0.845     0.077   8337.4    8761.2    9467.7    10335.7   11001.8   16236.9   11400.0       9.7           5.93          56.94         -0.2         	-0.35
  Berkeley_27       102.837   5.772     207.781   2.609     0.02    70     -1.091    0.147     0.19    4189.0    4330.0    4556.6    4808.4    4994.8    12547.9   5042.0        9.3           1.38          10.08         ""           	-0.35
  Berkeley_28       103.028   2.922     210.408   1.482     0.021   64     -0.987    0.154     0.209   3968.4    4059.6    4201.5    4353.5    4459.9    12149.8   1964.0        7.535         0.86          7.13          ""           	-0.35
